State,Agency Type,Agency,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Colorado,Nonmetropolitan Counties ,Bent,0,1,0,0,0,0,0,1,0,0,
Colorado,Nonmetropolitan Counties ,Custer,1,0,0,0,0,0,1,0,0,0,
Colorado,Nonmetropolitan Counties ,Fremont,1,0,1,0,0,0,0,1,1,0,
Colorado,Nonmetropolitan Counties ,Garfield,1,0,0,0,0,2,1,1,1,0,
Colorado,Nonmetropolitan Counties ,Huerfano,2,0,1,0,0,0,1,1,1,0,
Colorado,Nonmetropolitan Counties ,San Miguel,1,0,0,0,0,0,0,0,1,0,
Colorado,Nonmetropolitan Counties ,Summit,1,0,1,0,0,0,1,0,1,0,
Connecticut,Cities ,Bloomfield,0,1,0,0,0,0,0,0,1,0,21406
Connecticut,Cities ,Bridgeport,1,1,1,0,0,0,1,2,0,0,144908
Connecticut,Cities ,Bristol,1,0,0,0,0,0,1,0,0,0,59977
Connecticut,Cities ,Cheshire,0,1,0,0,0,0,0,1,0,0,29167
Connecticut,Cities ,Danbury,3,0,0,0,0,0,1,1,1,0,85167
Connecticut,Cities ,Derby,1,0,0,0,0,0,0,0,1,0,12468
Connecticut,Cities ,East Hartford,1,1,1,0,0,0,0,1,1,1,49842
Connecticut,Cities ,East Lyme,1,0,0,0,0,0,0,0,0,1,18588
Connecticut,Cities ,Enfield,2,0,0,0,0,0,0,0,1,1,44443
Connecticut,Cities ,Farmington,1,0,0,0,0,0,1,0,0,0,25525
Connecticut,Cities ,Glastonbury,2,0,1,0,0,0,2,1,0,0,34497
Connecticut,Cities ,Madison,1,0,0,0,0,0,0,0,0,1,18087
Connecticut,Cities ,Manchester,4,0,1,0,0,0,1,1,2,1,57630
Connecticut,Cities ,Middletown,1,0,0,0,0,0,0,0,1,0,45963
Connecticut,Cities ,Milford,1,0,1,0,0,0,,1,0,1,54898
Connecticut,Cities ,New Britain,2,1,0,0,0,0,,1,1,1,72354
Connecticut,Cities ,New Haven,5,2,2,0,0,0,2,5,1,1,130494
Connecticut,Cities ,New London,1,0,0,0,0,0,0,1,0,0,26856
Connecticut,Cities ,New Milford,1,0,0,0,0,0,0,1,0,0,26835
Connecticut,Cities ,Norwalk,1,0,0,0,0,0,0,0,0,1,89440
Connecticut,Cities ,Norwich,0,0,1,0,0,0,0,0,1,0,38964
Connecticut,Cities ,Old Saybrook,2,0,0,0,0,0,0,0,2,0,10069
Connecticut,Cities ,Orange,1,0,0,0,0,0,0,0,1,0,13948
Connecticut,Cities ,Plainville,1,0,0,0,0,0,0,0,1,0,17610
Connecticut,Cities ,Plymouth,1,0,0,0,0,0,0,0,0,1,11573
Connecticut,Cities ,Ridgefield,1,0,0,0,0,0,0,0,0,1,25050
Connecticut,Cities ,Seymour,0,1,0,0,0,0,1,0,0,0,16505
Connecticut,Cities ,Stamford,3,3,2,0,0,0,0,1,3,4,130678
Connecticut,Cities ,Torrington,1,0,0,0,1,0,1,0,0,1,33972
Connecticut,Cities ,Wallingford,1,0,0,0,0,0,1,0,0,0,44457
Connecticut,Cities ,West Hartford,1,0,0,0,0,0,1,0,0,0,62875
Connecticut,Cities ,West Haven,1,0,0,0,0,0,0,0,1,0,54794
Connecticut,Cities ,Westport,0,1,0,0,0,0,0,0,1,0,28332
Connecticut,Cities ,Wethersfield,1,0,0,0,0,0,1,0,0,0,26009
Connecticut,Cities ,Willimantic,0,0,1,0,0,0,0,1,0,0,17660
Connecticut,Cities ,Wilton,1,0,0,0,0,0,1,0,0,0,18439
Connecticut,Universities and Colleges,Southern Connecticut State University,1,0,0,0,0,0,0,0,1,0,11642
Connecticut,Universities and Colleges,"University of Connecticut, Storrs, Avery Point, and Hartford",1,0,0,0,0,0,0,0,0,1,
Connecticut,Universities and Colleges,Yale University,0,1,0,0,0,0,,,,1,13972
Connecticut,State Police Agencies,Connecticut State Police,1,3,0,0,0,0,0,1,2,1,
Delaware,Cities ,Bethany Beach,1,0,0,0,0,0,0,0,1,0,1244
Delaware,Cities ,Dover,0,1,2,0,0,0,1,0,1,1,38361
Delaware,Cities ,Milford,2,0,0,0,0,0,0,1,0,1,11592
Delaware,Cities ,Seaford,1,1,0,0,0,0,1,0,1,0,7987
Delaware,Cities ,Wilmington,0,0,1,0,0,1,0,2,0,0,70624
Delaware,Universities and Colleges,Delaware State University,0,0,1,0,0,0,1,0,0,0,4633
Delaware,Universities and Colleges,University of Delaware,3,0,1,0,0,0,1,1,1,1,25534
Delaware,Metropolitan Counties,New Castle County Police Department,1,1,1,0,0,0,1,2,0,0,
Delaware,State Police Agencies,New Castle County,2,1,0,0,0,0,1,0,1,1,
Delaware,State Police Agencies,Sussex County,0,0,1,0,0,0,0,0,1,0,
District of Columbia,Cities ,Washington,107,5,60,1,2,27,53,57,55,37,705749
District of Columbia,Other Agencies,Metro Transit Police,12,3,5,0,0,0,8,3,6,3,
Florida,Cities ,Bal Harbour Village,0,1,0,0,0,0,1,,,,3086
Florida,Cities ,Boca Raton,1,1,0,0,0,0,0,0,1,1,101163
Florida,Cities ,Cape Coral,1,0,1,0,0,0,0,1,0,1,194183
Florida,Cities ,Davie,3,0,0,0,0,0,2,1,0,0,108486
Florida,Cities ,DeLand,1,0,0,0,0,0,1,0,0,0,34468
Florida,Cities ,Deerfield Beach,0,0,1,0,0,0,0,0,0,1,81602
Florida,Cities ,Fort Lauderdale,2,0,1,0,0,0,0,3,0,0,184765
Florida,Cities ,Fort Myers,1,0,0,0,0,0,1,0,0,0,85127
Florida,Cities ,Gainesville,2,1,1,0,0,0,1,1,1,1,135085
Florida,Cities ,Jacksonville,4,0,0,0,0,0,0,1,2,1,909142
Florida,Cities ,Largo,2,0,0,0,0,0,0,0,0,2,85740
Florida,Cities ,Miami,0,2,0,0,0,0,1,0,1,0,480505
Florida,Cities ,Miami Beach,0,16,4,0,0,0,8,4,4,4,92185
Florida,Cities ,Miami Gardens,0,1,0,0,0,0,0,1,0,0,113786
Florida,Cities ,Miami Shores,0,0,1,0,0,0,0,1,0,0,10572
Florida,Cities ,Miramar,0,0,2,0,0,0,2,0,0,0,143334
Florida,Cities ,New Port Richey,1,0,0,0,0,0,0,0,0,1,16703
Florida,Cities ,North Miami,1,0,0,0,0,0,1,0,0,0,63547
Florida,Cities ,North Miami Beach,2,1,0,0,0,0,,1,1,1,46307
Florida,Cities ,North Port,1,0,0,0,0,0,1,0,0,0,70181
Florida,Cities ,Oakland Park,0,0,1,0,0,0,0,0,1,0,45857
Florida,Cities ,Ocala,1,0,1,0,0,0,0,0,0,2,60932
Florida,Cities ,Orlando,1,1,2,0,0,0,2,1,0,1,292120
Florida,Cities ,Palm Bay,0,0,1,0,0,0,0,0,0,1,115520
Florida,Cities ,Palm Beach Gardens,1,1,0,0,0,0,0,0,2,0,57236
Florida,Cities ,Pompano Beach,1,0,1,0,0,0,0,0,2,0,113536
Florida,Cities ,Port St. Lucie,1,1,1,0,0,0,,1,1,1,199433
Florida,Cities ,Royal Palm Beach,1,0,0,0,0,0,,1,0,0,40802
Florida,Cities ,Sarasota,1,0,0,0,0,0,0,0,0,1,58470
Florida,Cities ,St. Augustine,0,1,0,0,0,0,1,0,0,0,14778
Florida,Cities ,Sunny Isles Beach,0,0,1,0,0,0,0,1,0,0,22476
